id,originalTitle,description,budget,genres,averageRating,averageRating.1,metascore
tt0052618,Ben-Hur,"A Jewish prince is betrayed and sent into slavery by a Roman friend in 1st-century Jerusalem, but it's not long before he regains his freedom and comes back for revenge.",15000000.0,"['Adventure', 'Drama']",8.1,8.1,90.0
tt0405159,Million Dollar Baby,"Frankie, an ill-tempered old coach, reluctantly agrees to train aspiring boxer Maggie. Impressed with her determination and talent, he helps her become the best and the two soon form a close bond.",30000000.0,"['Drama', 'Sport']",8.1,8.1,86.0
tt1392190,Mad Max: Fury Road,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshipper and a drifter named Max.",150000000.0,"['Action', 'Adventure', 'Sci-Fi']",8.1,8.1,90.0
tt1205489,Gran Torino,"After a Hmong teenager tries to steal his prized 1972 Gran Torino, a disgruntled, prejudiced Korean War veteran seeks to redeem both the boy and himself.",33000000.0,['Drama'],8.1,8.1,73.0
tt0118849,Bacheha-ye aseman,"After a boy loses his sister's pair of shoes, he goes on a series of adventures in order to find them. When he can't, he tries a new way to ""win"" a new pair.",180000.0,"['Drama', 'Family', 'Sport']",8.2,8.2,77.0
tt0096283,Tonari no Totoro,"When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby.",3700000.0,"['Adventure', 'Animation', 'Comedy']",8.1,8.1,87.0
tt2119532,Hacksaw Ridge,"World War II American Army Medic Desmond T. Doss, serving during the Battle of Okinawa, refuses to kill people and becomes the first man in American history to receive the Medal of Honor without firing a shot.",40000000.0,"['Biography', 'Drama', 'History']",8.1,8.1,71.0
tt2024544,12 Years a Slave,"In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery.",20000000.0,"['Biography', 'Drama', 'History']",8.1,8.1,96.0
tt2278388,The Grand Budapest Hotel,"A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge.",25000000.0,"['Comedy', 'Drama']",8.1,8.1,88.0
tt0112471,Before Sunrise,"A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together.",2500000.0,"['Comedy', 'Drama', 'Romance']",8.1,8.1,79.0
tt0382932,Ratatouille,A rat who can cook makes an unusual alliance with a young kitchen worker at a famous Paris restaurant.,150000000.0,"['Adventure', 'Animation', 'Comedy']",8.1,8.1,96.0
tt0083658,Blade Runner,A blade runner must pursue and terminate four replicants who stole a ship in space and have returned to Earth to find their creator.,28000000.0,"['Action', 'Drama', 'Sci-Fi']",8.1,8.1,84.0
tt0353969,Salinui chueok,"In a small Korean province in 1986, two detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit.",2800000.0,"['Crime', 'Drama', 'Mystery']",8.1,8.1,82.0
tt0892769,How to Train Your Dragon,"A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed.",165000000.0,"['Action', 'Adventure', 'Animation']",8.1,8.1,75.0
tt10872600,Spider-Man: No Way Home,"With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear.",200000000.0,"['Action', 'Adventure', 'Fantasy']",8.1,8.1,71.0
tt2267998,Gone Girl,The husband of a missing woman becomes the main suspect in her disappearance.,61000000.0,"['Drama', 'Mystery', 'Thriller']",8.1,8.1,79.0
tt0198781,"Monsters, Inc.","In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, two monsters realize things may not be what they think.",115000000.0,"['Adventure', 'Animation', 'Comedy']",8.1,8.1,79.0
tt0073195,Jaws,"When a massive killer shark unleashes chaos on a beach community off Long Island, it's up to the local police chief, a marine biologist, and an old seafarer to hunt the beast down.",7000000.0,"['Adventure', 'Horror', 'Thriller']",8.1,8.1,87.0
tt0107207,In the Name of the Father,"An Irish man's coerced confession to an I.R.A. bombing he did not commit results in the imprisonment of his father as well. Meanwhile, a British lawyer fights to clear their names and free them.",13000000.0,"['Biography', 'Crime', 'Drama']",8.1,8.1,84.0
